Human,Algorithm,Runtime
01349672,01349671,1.8734939098358154
01349705,01349773,3.2061691284179688
01349800,01349790,2.6330478191375732
01349810,0134976501,5.536107063293457
01349820,01349959,3.224011182785034
01349840,01349829,2.3942208290100098
0134984680,ERROR: isolateNetwork() [Error]: User Click was not snapped to line!,NaN
01349866,01349870,1.816572904586792
01349870,01349865,1.599318027496338
01349876,0134985523,4.765780925750732
01349882,01349882,2.2710487842559814
0134988380,00345000,2.417081832885742
01349884,0134988380,1.484010934829712
01349885,01349885,1.8315069675445557
0134989010,01349889,1.5487961769104004
01349892,01349891,1.8457221984863281
01349895,01349893,4.067566871643066
01349920,01349940,2.282510995864868
01349985,ERROR: Error: Unimplemented conflicting series check!,NaN
01350000,01350022,3.5716559886932373
01350032,01350023,2.2479159832000732
01350035,01350034,3.2245728969573975
01350070,01350070,1.5404670238494873
01350072,01350055,5.174375772476196
01350090,01350088,3.1810848712921143
01350100,00345000,1.8973639011383057
01350101,01350118,1.946544885635376
01350180,01350192,1.6759936809539795
01350196,01350196,1.469594955444336
01350200,01350176,1.4768221378326416
01350470,00345000,2.0927798748016357
01350485,01350484,1.6053037643432617
01350500,00345000,3.105515956878662
01350870,01350848,2.276979923248291
01350900,01350928,2.1769168376922607
01350910,00345000,2.325896978378296
01351000,0135100046,2.3745508193969727
01351010,01351165,2.442168951034546
01351200,ERROR: 'int' object has no attribute 'extension',NaN
01351220,00345000,2.346283197402954
01351230,01351188,2.589763879776001
01351243,0135123980,2.4846792221069336
01351250,01351269,1.639362096786499
01351270,01351248,1.6367061138153076
01351297,01351200,2.033050060272217
01351315,01351307,1.8827357292175293
01351322,ERROR: 'int' object has no attribute 'extension',NaN
01351332,01351342,2.631113052368164
01351500,01351600,1.747910737991333
01352000,ERROR: isolateNetwork() [Error]: User Click was not snapped to line!,NaN
01354000,01353999,1.715512990951538
01354005,01354002,2.16849684715271
0135403040,01354008,1.8510351181030273
01354080,01354105,1.6303369998931885
01354083,01354124,1.8091390132904053
01354130,01354081,1.4671761989593506
01354200,01354180,1.9654390811920166
01354250,01354273,1.9774541854858398
01354270,01354271,1.363490104675293
0135427505,01354322,1.7683110237121582
01354300,01354262,1.7785589694976807
01354330,01354353,1.786973237991333
01354490,01354491,1.9508779048919678
01354500,01355465,2.1788830757141113
